,id,maximum,minimum,mean,peak_to_peak,trimmed_mean,variance,standard_deviation,mean_abs_deviation,median_abs_deviation,crest_factor,Peak2RMS,skewness,kurtosis,shape_factor,rms,mean_frequency,frequency_center,rms_frequency,sd_frequency,largest_freq_amp,largest_freq_idx,largest_sideband_amp,sideband_index,sideband_level_factor,figure_of_merit,state
341,1613711330549,229.32,141.89,186.74057142857146,371.21,191.19849056603772,679.5879739591838,26.068908185023474,23.967970068027206,22.63228571428573,1.2162201112174635,1.2162201112174635,-0.4313555966188636,1.5808329527824012,1.0096970075172258,188.55139615348537,2.668348125396385,5.72692180483204,17.775476621623408,19.52147136711625,4.418122607129821,4.040404040404041,2.6883929208754687,6.0606060606060606,0.014258143804393006,0.009465895135395365,new
342,1613711404637,227.54,140.45,187.33009569377987,367.99,193.084,749.7644239142877,27.38182652626168,25.466580435429606,23.542631578947354,1.2018759412721942,1.2018759412721942,-0.4737882644283586,1.5376372602589836,1.0106262096472238,189.32070456385648,2.6923767311604014,6.2893423478455555,19.238774332181475,19.495075034375855,4.533381461047328,4.040404040404041,2.3810540892162613,6.0606060606060606,0.012576828797999477,0.009399011391247292,new
343,1613711472577,232.39,141.49,188.09846889952155,373.88,193.73714285714289,746.3203344978366,27.318864077736407,25.51968910968156,23.455215311004775,1.222642129757608,1.222642129757608,-0.46380049397391926,1.5181601246695309,1.0104918587465543,190.0719714656585,2.679596415887681,5.897913099533713,18.416246820734322,19.57704073642086,4.347693574895557,4.040404040404041,2.420236030716686,6.0606060606060606,0.012733261048717883,0.009510441695762532,new
344,1613711542794,226.03,140.54,187.06732057416266,366.57,192.43533333333332,763.8209296627825,27.637310463624758,25.442446372564728,24.208277511961725,1.1953069773866916,1.1953069773866916,-0.4368980684820498,1.52870105183647,1.0108546300788803,189.0978671388425,2.7149396356785074,6.794436947146424,20.304860668207702,19.466254122873,4.801493125571283,4.040404040404041,2.4500141684583308,6.0606060606060606,0.012956328939762401,0.009375894408455668,new
345,1613711619334,230.21,141.7,188.45123809523807,371.90999999999997,193.83622641509436,748.8794946575964,27.36566269355808,25.39084807256236,23.70590476190474,1.2089095964623686,1.2089095964623686,-0.4537204620351016,1.5265480944672478,1.0104884753324868,190.42780425737655,2.714965480603399,6.234183920159558,19.216718597536882,19.70502357880975,4.260136600409984,4.040404040404041,2.282610779657487,6.0606060606060606,0.011986751559516898,0.009397656486103776,new
346,1613711686146,232.97,142.87,189.18719047619047,375.84000000000003,193.87150943396225,741.2621287732427,27.226129522450353,25.054213605442182,23.96919047619048,1.218868920670776,1.218868920670776,-0.40701568253622084,1.5205855168826587,1.01030212996055,191.13622149934747,2.765142702716625,6.890672478594378,19.98906499064719,19.77478488054903,4.436766420179866,4.040404040404041,2.669659612260013,6.0606060606060606,0.013967313946661477,0.009460018308900914,new
347,1613750976870,211.27,130.68,178.90327510917032,341.95000000000005,183.7371304347826,577.685297133922,24.0350847124349,21.309013176712877,19.00903930131003,1.1704023532502354,1.1704023532502354,-0.5707827400844322,1.9397572460034522,1.0089841752784763,180.5105734906446,2.7214185122540666,4.468913842315749,15.326659180042817,20.395736532147975,2.9590246453479643,7.070707070707071,1.6868591657234169,10.101010101010102,0.009344932726674,0.008346585271492854,new
348,1614056181568,229.19,141.67,189.55124401913878,370.86,194.9662857142857,735.2399735720335,27.115308841538823,25.323057622307175,23.56023923444978,1.1969343447762166,1.1969343447762166,-0.45165318104011504,1.4911470089388439,1.010179839240797,191.4808452111467,2.705903436950415,6.19098825364411,19.16117780377367,19.72428520044145,4.631775199221609,4.040404040404041,2.495176533602064,6.0606060606060606,0.013030945893572921,0.009361319520469012,new
349,1614142220979,213.66,127.31,179.00193236714978,340.97,183.22904761904763,751.2833885364886,27.40954922169441,25.033764148521556,22.649999999999988,1.1798663466075892,1.1798663466075892,-0.4589128939421537,1.7120151819664304,1.0116556021985883,181.08830768359988,2.508407414424722,4.825413841554392,16.058090537646855,18.46535865742387,4.4419191397862345,4.040404040404041,2.578569592845342,6.0606060606060606,0.01423929366743355,0.009202124501395285,new
350,1614142287230,221.77,139.83,183.13582524271843,361.6,186.7803846153846,624.4140825714018,24.98827890374609,23.034176642473387,20.75893203883496,1.1998414941605677,1.1998414941605677,-0.4145753809287169,1.6047129959450495,1.009265922236703,184.83274755817192,2.5033782743831705,4.933940724865379,16.509118883094185,18.78447432595462,4.3454158654281825,4.040404040404041,2.3494590828650352,6.0606060606060606,0.01271127066985571,0.009584906740659883,new
351,1614142353347,218.82,141.18,186.07917874396134,360.0,190.3677142857143,614.2645891806109,24.78436178683266,22.952706480898026,20.831690821256057,1.1656569467475224,1.1656569467475224,-0.46696531960356563,1.5999100552252752,1.0088311342722687,187.72246895672274,2.573384355522057,5.2913406948650135,17.19907826759078,19.172418311588896,4.513520980086845,4.040404040404041,2.3007126405611076,6.0606060606060606,0.012255925746914774,0.009346185030059673,new
352,1614142424499,219.68,144.5,188.9413043478261,364.18,193.63038095238096,636.1232354967444,25.221483610143643,23.530174333123277,21.586570048309184,1.1524664674081984,1.1524664674081984,-0.46853829074458875,1.5184394701795803,1.008870243767099,190.61725977506498,2.6176424298965175,5.392375407319432,17.34728798669902,19.46709816709832,4.45423266783769,4.040404040404041,2.417859863446053,6.0606060606060606,0.012684370063336404,0.009311482619273167,new
353,1614142490567,221.64,144.41,190.33270531400964,366.04999999999995,195.65495238095235,653.373383985624,25.561169456533555,23.9949151672151,21.77024154589372,1.1541259415469447,1.1541259415469447,-0.4956589603130758,1.5003357237640607,1.0089775846085267,192.04143327973594,2.6340517220636634,5.300714442564703,17.108258305600057,19.61188411030954,4.3292747078191995,4.040404040404041,2.301013475240799,6.0606060606060606,0.011981859518248034,0.009290875601254557,new
354,1614142556716,222.5,141.4,188.93169082125604,363.9,194.7810476190476,718.3359039044086,26.801789192223875,25.061290578543268,22.738599033816428,1.166000362828751,1.166000362828751,-0.5228888993096461,1.5522289714124804,1.0100119646793193,190.82326823656254,2.660161815934412,5.941186545278741,18.46324360833506,19.47162487994173,4.174102446294188,4.040404040404041,2.43338687420393,6.0606060606060606,0.012752044845952822,0.0093047969181408,new
355,1614142627592,227.35,145.73,192.0369230769231,373.08,197.43250000000003,689.7001578402367,26.262143054980047,24.970036982248494,22.242307692307683,1.1729692165938275,1.1729692165938275,-0.4710208498835279,1.409120605708855,1.009307743140149,193.82435343034763,2.646671269186178,5.210099302927724,17.074692183799506,19.889599149837178,4.537393570482864,4.040404040404041,2.0859994675904363,6.0606060606060606,0.010762318721419377,0.009340150932512985,new
356,1614142698597,225.63,144.41,191.38845410628022,370.03999999999996,196.93590476190477,713.3804893976522,26.70918361533449,25.106935984503703,22.803961352657005,1.167596276396833,1.167596276396833,-0.48958318896327874,1.4774438806375239,1.0096908196155459,193.24316509152237,2.6724135148733525,5.650156866724937,17.840835436119644,19.724641622550255,4.0278684691032876,4.040404040404041,2.4934470642236812,6.0606060606060606,0.012903157858352991,0.009340337997865086,new
357,1614142764612,228.27,144.56,190.39169082125605,372.83000000000004,195.37419047619048,712.0159048705922,26.68362615670127,24.710565940862075,23.371352657004834,1.1873449593704068,1.1873449593704068,-0.4375231227757621,1.4980015943791856,1.0097734211826819,192.25246900533512,2.6813196105907684,5.58379473303031,17.560080357617284,19.61960760105515,4.29145021393979,4.040404040404041,2.4758709830437162,6.0606060606060606,0.012878227238657775,0.009460030022014116,new
358,1614228573726,213.35,123.81,176.84794392523366,337.15999999999997,182.73018518518518,830.0599153987248,28.810760409935813,26.134051008821736,23.426542056074748,1.1907061152368814,1.1907061152368814,-0.5459457628671511,1.80104042206163,1.0131833590396593,179.17939386542557,2.6191430952775976,5.175343537637345,16.77479668665224,18.86687076128928,4.495191003832135,4.040404040404041,2.630445676363467,6.0606060606060606,0.014680514425331123,0.008908862516138002,new
